Id,Latitude,Longitude,Quantity,Date,Status
48.930-23.963,48.930,23.963,1,Mar-31,Hiden
49.967-24.054,49.967,24.054,5,Mar-31,Hiden
49.906-24.054,49.906,24.054,2,Mar-31,Hiden
48.747-24.237,48.747,24.237,2,Mar-31,Hiden
48.442-24.419,48.442,24.419,2,Mar-31,Hiden
48.320-24.419,48.320,24.419,6,Mar-31,Hiden
49.174-24.602,49.174,24.602,6,Mar-31,Hiden
48.747-24.602,48.747,24.602,1,Mar-31,Hiden
48.686-24.602,48.686,24.602,8,Mar-31,Hiden
48.869-24.784,48.869,24.784,6,Mar-31,Hiden
49.296-24.875,49.296,24.875,1,Mar-31,Hiden
49.235-24.875,49.235,24.875,1,Mar-31,Hiden
48.930-24.875,48.930,24.875,1,Mar-31,Hiden
48.869-24.875,48.869,24.875,4,Mar-31,Hiden
49.296-24.967,49.296,24.967,2,Mar-31,Hiden
48.564-24.967,48.564,24.967,2,Mar-31,Hiden
49.662-25.058,49.662,25.058,3,Mar-31,Hiden
49.601-25.058,49.601,25.058,5,Mar-31,Hiden
49.723-25.331,49.723,25.331,1,Mar-31,Hiden
49.418-25.514,49.418,25.514,3,Mar-31,Hiden
49.357-25.514,49.357,25.514,2,Mar-31,Hiden
49.662-25.605,49.662,25.605,4,Mar-31,Hiden
48.320-25.605,48.320,25.605,1,Mar-31,Hiden
48.259-25.605,48.259,25.605,2,Mar-31,Hiden
49.662-25.696,49.662,25.696,4,Mar-31,Hiden
48.259-25.696,48.259,25.696,2,Mar-31,Hiden
49.662-25.787,49.662,25.787,1,Mar-31,Hiden
49.174-25.787,49.174,25.787,1,Mar-31,Hiden
50.638-25.879,50.638,25.879,4,Mar-31,Hiden
50.516-26.061,50.516,26.061,1,Mar-31,Hiden
49.296-26.061,49.296,26.061,2,Mar-31,Hiden
48.747-26.061,48.747,26.061,1,Mar-31,Hiden
48.686-26.061,48.686,26.061,15,Mar-31,Hiden
48.503-26.061,48.503,26.061,2,Mar-31,Hiden
50.516-26.152,50.516,26.152,2,Mar-31,Hiden
48.503-26.152,48.503,26.152,5,Mar-31,Hiden
48.442-26.152,48.442,26.152,8,Mar-31,Hiden
48.503-26.243,48.503,26.243,8,Mar-31,Hiden
48.442-26.243,48.442,26.243,15,Mar-31,Hiden
48.381-26.243,48.381,26.243,7,Mar-31,Hiden
48.320-26.243,48.320,26.243,2,Mar-31,Hiden
48.442-26.335,48.442,26.335,1,Mar-31,Hiden
49.296-28.432,49.296,28.432,2,Mar-31,Hiden
49.296-28.524,49.296,28.524,2,Mar-31,Hiden
50.333-28.615,50.333,28.615,1,Mar-31,Hiden
49.113-28.615,49.113,28.615,4,Mar-31,Hiden
49.052-28.615,49.052,28.615,1,Mar-31,Hiden
49.113-28.706,49.113,28.706,1,Mar-31,Hiden
49.052-28.706,49.052,28.706,4,Mar-31,Hiden
49.479-28.797,49.479,28.797,8,Mar-31,Hiden
49.296-28.797,49.296,28.797,2,Mar-31,Hiden
48.869-28.888,48.869,28.888,2,Mar-31,Hiden
50.638-29.709,50.638,29.709,2,Mar-31,Hiden
50.882-30.074,50.882,30.074,2,Mar-31,Hiden
50.821-30.074,50.821,30.074,3,Mar-31,Hiden
50.455-30.074,50.455,30.074,1,Mar-31,Hiden
50.394-30.074,50.394,30.074,1,Mar-31,Hiden
50.882-30.165,50.882,30.165,2,Mar-31,Hiden
50.150-30.256,50.150,30.256,2,Mar-31,Hiden
49.723-30.256,49.723,30.256,2,Mar-31,Hiden
49.662-30.256,49.662,30.256,3,Mar-31,Hiden
50.150-30.348,50.150,30.348,9,Mar-31,Hiden
49.723-30.348,49.723,30.348,26,Mar-31,Hiden
49.662-30.348,49.662,30.348,11,Mar-31,Hiden
48.076-30.348,48.076,30.348,1,Mar-31,Hiden
50.211-30.439,50.211,30.439,3,Mar-31,Hiden
49.723-30.439,49.723,30.439,1,Mar-31,Hiden
50.211-30.530,50.211,30.530,3,Mar-31,Hiden
50.150-30.530,50.150,30.530,3,Mar-31,Hiden
