current_date_formatted,current_label_en,current_death
13.03.2020,Cherkaska,0
14.03.2020,Cherkaska,0
15.03.2020,Cherkaska,0
16.03.2020,Cherkaska,0
17.03.2020,Cherkaska,0
18.03.2020,Cherkaska,0
19.03.2020,Cherkaska,0
20.03.2020,Cherkaska,0
21.03.2020,Cherkaska,0
22.03.2020,Cherkaska,0
23.03.2020,Cherkaska,0
24.03.2020,Cherkaska,0
25.03.2020,Cherkaska,0
26.03.2020,Cherkaska,0
27.03.2020,Cherkaska,0
28.03.2020,Cherkaska,0
29.03.2020,Cherkaska,0
30.03.2020,Cherkaska,0
31.03.2020,Cherkaska,0
01.04.2020,Cherkaska,0
02.04.2020,Cherkaska,0
03.04.2020,Cherkaska,1
04.04.2020,Cherkaska,1
05.04.2020,Cherkaska,1
06.04.2020,Cherkaska,1
07.04.2020,Cherkaska,1
08.04.2020,Cherkaska,1
09.04.2020,Cherkaska,1
10.04.2020,Cherkaska,1
11.04.2020,Cherkaska,1
12.04.2020,Cherkaska,2
13.04.2020,Cherkaska,2
14.04.2020,Cherkaska,2
15.04.2020,Cherkaska,2
16.04.2020,Cherkaska,2
17.04.2020,Cherkaska,2
18.04.2020,Cherkaska,2
19.04.2020,Cherkaska,2
20.04.2020,Cherkaska,2
21.04.2020,Cherkaska,3
22.04.2020,Cherkaska,3
23.04.2020,Cherkaska,3
24.04.2020,Cherkaska,3
25.04.2020,Cherkaska,3
26.04.2020,Cherkaska,4
27.04.2020,Cherkaska,7
28.04.2020,Cherkaska,8
29.04.2020,Cherkaska,8
30.04.2020,Cherkaska,8
01.05.2020,Cherkaska,9
02.05.2020,Cherkaska,9
03.05.2020,Cherkaska,9
04.05.2020,Cherkaska,9
05.05.2020,Cherkaska,9
06.05.2020,Cherkaska,10
07.05.2020,Cherkaska,10
08.05.2020,Cherkaska,11
09.05.2020,Cherkaska,12
10.05.2020,Cherkaska,12
11.05.2020,Cherkaska,13
12.05.2020,Cherkaska,13
13.05.2020,Cherkaska,14
14.05.2020,Cherkaska,15
15.05.2020,Cherkaska,15
16.05.2020,Cherkaska,16
17.05.2020,Cherkaska,16
18.05.2020,Cherkaska,16
19.05.2020,Cherkaska,16
20.05.2020,Cherkaska,16
21.05.2020,Cherkaska,16
22.05.2020,Cherkaska,16
23.05.2020,Cherkaska,16
24.05.2020,Cherkaska,16
25.05.2020,Cherkaska,16
26.05.2020,Cherkaska,16
27.05.2020,Cherkaska,16
28.05.2020,Cherkaska,16
29.05.2020,Cherkaska,16
30.05.2020,Cherkaska,16
31.05.2020,Cherkaska,16
01.06.2020,Cherkaska,16
02.06.2020,Cherkaska,16
03.06.2020,Cherkaska,16
04.06.2020,Cherkaska,16
05.06.2020,Cherkaska,16
06.06.2020,Cherkaska,17
07.06.2020,Cherkaska,18
08.06.2020,Cherkaska,18
09.06.2020,Cherkaska,18
10.06.2020,Cherkaska,19
11.06.2020,Cherkaska,19
12.06.2020,Cherkaska,19
13.06.2020,Cherkaska,19
14.06.2020,Cherkaska,19
15.06.2020,Cherkaska,19
16.06.2020,Cherkaska,20
17.06.2020,Cherkaska,21
18.06.2020,Cherkaska,21
19.06.2020,Cherkaska,21
20.06.2020,Cherkaska,21
21.06.2020,Cherkaska,21
22.06.2020,Cherkaska,21
23.06.2020,Cherkaska,21
24.06.2020,Cherkaska,22
25.06.2020,Cherkaska,22
26.06.2020,Cherkaska,23
27.06.2020,Cherkaska,24
28.06.2020,Cherkaska,24
29.06.2020,Cherkaska,24
30.06.2020,Cherkaska,24
01.07.2020,Cherkaska,25
02.07.2020,Cherkaska,26
03.07.2020,Cherkaska,26
04.07.2020,Cherkaska,26
05.07.2020,Cherkaska,26
06.07.2020,Cherkaska,26
07.07.2020,Cherkaska,26
08.07.2020,Cherkaska,27
09.07.2020,Cherkaska,28
10.07.2020,Cherkaska,28
11.07.2020,Cherkaska,29
12.07.2020,Cherkaska,30
13.07.2020,Cherkaska,31
14.07.2020,Cherkaska,31
15.07.2020,Cherkaska,32
16.07.2020,Cherkaska,32
17.07.2020,Cherkaska,32
18.07.2020,Cherkaska,33
19.07.2020,Cherkaska,34
20.07.2020,Cherkaska,34
21.07.2020,Cherkaska,35
22.07.2020,Cherkaska,36
23.07.2020,Cherkaska,36
24.07.2020,Cherkaska,36
25.07.2020,Cherkaska,36
26.07.2020,Cherkaska,36
27.07.2020,Cherkaska,36
28.07.2020,Cherkaska,36
29.07.2020,Cherkaska,37
30.07.2020,Cherkaska,37
31.07.2020,Cherkaska,37
01.08.2020,Cherkaska,37
02.08.2020,Cherkaska,37
03.08.2020,Cherkaska,37
04.08.2020,Cherkaska,37
05.08.2020,Cherkaska,37
06.08.2020,Cherkaska,37
07.08.2020,Cherkaska,37
08.08.2020,Cherkaska,37
09.08.2020,Cherkaska,37
10.08.2020,Cherkaska,37
11.08.2020,Cherkaska,37
12.08.2020,Cherkaska,37
13.08.2020,Cherkaska,37
14.08.2020,Cherkaska,37
15.08.2020,Cherkaska,37
16.08.2020,Cherkaska,37
17.08.2020,Cherkaska,37
18.08.2020,Cherkaska,37
19.08.2020,Cherkaska,37
20.08.2020,Cherkaska,37
21.08.2020,Cherkaska,37
22.08.2020,Cherkaska,37
23.08.2020,Cherkaska,37
24.08.2020,Cherkaska,37
25.08.2020,Cherkaska,37
26.08.2020,Cherkaska,38
27.08.2020,Cherkaska,38
28.08.2020,Cherkaska,38
29.08.2020,Cherkaska,38
30.08.2020,Cherkaska,38
31.08.2020,Cherkaska,38
01.09.2020,Cherkaska,38
02.09.2020,Cherkaska,38
03.09.2020,Cherkaska,39
04.09.2020,Cherkaska,40
05.09.2020,Cherkaska,41
06.09.2020,Cherkaska,41
07.09.2020,Cherkaska,41
08.09.2020,Cherkaska,41
09.09.2020,Cherkaska,41
10.09.2020,Cherkaska,41
11.09.2020,Cherkaska,41
12.09.2020,Cherkaska,42
13.09.2020,Cherkaska,43
14.09.2020,Cherkaska,43
15.09.2020,Cherkaska,43
16.09.2020,Cherkaska,45
17.09.2020,Cherkaska,47
18.09.2020,Cherkaska,47
